País,Sexo,Años,id_fuente,ids_notas,iso3,valor
Bolivia (Estado Plurinacional de),Ambos sexos,2003,480,,BOL,31
Brasil,Ambos sexos,2003,480,,BRA,36
Chile,Ambos sexos,2003,480,,CHL,34
Colombia,Ambos sexos,2003,480,,COL,37
Costa Rica,Ambos sexos,2003,480,,CRI,32
Ecuador,Ambos sexos,2003,480,,ECU,32
El Salvador,Ambos sexos,2003,480,,SLV,39
Guatemala,Ambos sexos,2003,480,,GTM,32
Honduras,Ambos sexos,2003,480,,HND,27
México,Ambos sexos,2003,480,,MEX,60
Nicaragua,Ambos sexos,2003,480,,NIC,30
Panamá,Ambos sexos,2003,480,,PAN,26
Paraguay,Ambos sexos,2003,480,,PRY,37
Perú,Ambos sexos,2003,480,,PER,34
Uruguay,Ambos sexos,2003,480,,URY,26
Venezuela (República Bolivariana de),Ambos sexos,2003,480,,VEN,46
Argentina,Hombres,2003,480,,ARG,44
Bolivia (Estado Plurinacional de),Hombres,2003,480,,BOL,32
Brasil,Hombres,2003,480,,BRA,37
Chile,Hombres,2003,480,,CHL,34
Colombia,Hombres,2003,480,,COL,38
Costa Rica,Hombres,2003,480,,CRI,34
Ecuador,Hombres,2003,480,,ECU,32
El Salvador,Hombres,2003,480,,SLV,42
Guatemala,Hombres,2003,480,,GTM,34
Honduras,Hombres,2003,480,,HND,29
México,Hombres,2003,480,,MEX,62
Nicaragua,Hombres,2003,480,,NIC,30
Panamá,Hombres,2003,480,,PAN,26
Paraguay,Hombres,2003,480,,PRY,40
Perú,Hombres,2003,480,,PER,37
Uruguay,Hombres,2003,480,,URY,26
Venezuela (República Bolivariana de),Hombres,2003,480,,VEN,49
Argentina,Mujeres,2003,480,,ARG,41
Bolivia (Estado Plurinacional de),Mujeres,2003,480,,BOL,30
Brasil,Mujeres,2003,480,,BRA,35
Chile,Mujeres,2003,480,,CHL,33
Colombia,Mujeres,2003,480,,COL,36
Costa Rica,Mujeres,2003,480,,CRI,31
Ecuador,Mujeres,2003,480,,ECU,33
El Salvador,Mujeres,2003,480,,SLV,35
Guatemala,Mujeres,2003,480,,GTM,31
Honduras,Mujeres,2003,480,,HND,26
México,Mujeres,2003,480,,MEX,58
Nicaragua,Mujeres,2003,480,,NIC,29
Panamá,Mujeres,2003,480,,PAN,26
Paraguay,Mujeres,2003,480,,PRY,34
Perú,Mujeres,2003,480,,PER,32
Uruguay,Mujeres,2003,480,,URY,26
Venezuela (República Bolivariana de),Mujeres,2003,480,,VEN,44
Argentina,Ambos sexos,2004,480,,ARG,36
Bolivia (Estado Plurinacional de),Ambos sexos,2004,480,,BOL,34
Brasil,Ambos sexos,2004,480,,BRA,27
Chile,Ambos sexos,2004,480,,CHL,33
Colombia,Ambos sexos,2004,480,,COL,24
Costa Rica,Ambos sexos,2004,480,,CRI,36
República Dominicana,Ambos sexos,2004,480,,DOM,30
Ecuador,Ambos sexos,2004,480,,ECU,37
El Salvador,Ambos sexos,2004,480,,SLV,30
Guatemala,Ambos sexos,2004,480,,GTM,34
Honduras,Ambos sexos,2004,480,,HND,33
México,Ambos sexos,2004,480,,MEX,61
Nicaragua,Ambos sexos,2004,480,,NIC,32
Panamá,Ambos sexos,2004,480,,PAN,19
Paraguay,Ambos sexos,2004,480,,PRY,40
Perú,Ambos sexos,2004,480,,PER,33
Uruguay,Ambos sexos,2004,480,,URY,19
Venezuela (República Bolivariana de),Ambos sexos,2004,480,,VEN,43
Argentina,Hombres,2004,480,,ARG,33
Bolivia (Estado Plurinacional de),Hombres,2004,480,,BOL,36
Brasil,Hombres,2004,480,,BRA,27
Chile,Hombres,2004,480,,CHL,34
Colombia,Hombres,2004,480,,COL,27
Costa Rica,Hombres,2004,480,,CRI,35
República Dominicana,Hombres,2004,480,,DOM,26
Ecuador,Hombres,2004,480,,ECU,39
El Salvador,Hombres,2004,480,,SLV,30
Guatemala,Hombres,2004,480,,GTM,36
Honduras,Hombres,2004,480,,HND,37
México,Hombres,2004,480,,MEX,63
